Supplier Name,Invoice Number,Part Number,Cost,Purchase Date
Supplier X,001-1001,2341,500,1/20/2014
Supplier X,001-1001,2341,500,1/20/2014
Supplier X,001-1001,5467,750,1/20/2014
Supplier X,001-1001,5467,750,1/20/2014
Supplier Y,50-9501,7009,250,1/30/2014
Supplier Y,50-9501,7009,250,1/30/2014
Supplier Y,50-9505,6650,125,2/3/2014
Supplier Y,50-9505,6650,125,2/3/2014
Supplier Z,920-4803,3321,615,2/3/2014
Supplier Z,920-4804,3321,615,2/10/2014
Supplier Z,920-4805,3321,6015,2/17/2014
Supplier Z,920-4806,3321,100615,2/24/2014
